groupz    galz    R200    Sigma    Lgroup    Nmemb    Mgroup    DeltaLSS    dR200    MassBest    nI    nB    gReI    gReB    diskhI-tot    diskhB-tot    bulgeRe-I    bulgeRe-B    diskInc-I    diskInc-B    SFRBest    sSFRBest    B-I    Jmag    Hmag    Kmag    BulgeMass    DiskMass    FUV-NUV    umag    gmag    rmag    imag    zmag    
0.05188     0.05402     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     0.716     4.7600e+09       0.94       0.76       3.897       4.254       2.358       2.689       1.105       1.561      70.356      71.059      0.4539     .5349e-11       0.901     16.228     16.173     16.925     NA    .8999e+09       0.273     NA    NA    NA    NA    NA    
0.05188     0.05452     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     1.204     2.1600e+10       3.83       3.44       2.361       2.212     NA    NA      1.039       1.119      53.843      53.843      0.0081     .7486e-13       1.377     15.917     15.692     16.193     .0105e+10      .2488e+09       0.585     NA    NA    NA    NA    NA    
0.05188     0.04910     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     0.443     8.6700e+08       1.29       1.10       2.673       2.662       1.448       1.544     NA      0.659     NA     54.063      0.0372     .2856e-11       0.877     NA    NA    17.128     NA    NA     0.063     NA    NA    NA    NA    NA    
0.05188     0.05291     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     0.000     2.2200e+10       1.11       0.85       5.876       6.383       3.424       3.915     NA      3.651     NA     82.153      0.2656     .1965e-11       1.506     15.326     14.592     14.817     NA    NA     0.095     NA    NA    NA    NA    NA    
0.05188     0.05012     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     0.325     1.3800e+09       1.40       1.22       2.415       2.328       1.292       1.323       1.353       1.353      66.088      66.088      0.1882     .3640e-10       1.026     17.854     NA    NA    .1469e+08      .4080e+08       0.339     NA    NA    NA    NA    NA    
0.05188     0.05147     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     1.155     4.2800e+09       0.92       0.54       4.395       3.971       2.941       2.812       4.013       2.054      42.322      41.827      0.4687     .0951e-10       0.701     NA    17.967     NA    NA    .1904e+09       0.017     NA    NA    NA    NA    NA    
0.05188     0.05112     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     1.178     1.0100e+09       1.66       1.88       5.535       6.114     NA    NA    NA    NA    NA    NA     0.2686     .6595e-10       0.489     NA    NA    16.897     NA    NA     0.058     NA    NA    NA    NA    NA    
0.05188     0.05133     0.340     600.7     4.9898e+10       8     4.6829e+12      0.777     2.620     9.2900e+09       0.92       0.77       3.589       3.596       2.296       2.389       0.813       1.536      69.176      70.605      0.3981     .2856e-11       1.264     15.792     15.289     15.818     NA    .7367e+09       0.499     NA    NA    NA    NA    NA    
0.05079     0.05108     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     2.991     6.1100e+10       4.13       3.76       5.198       5.487     NA    NA    NA    NA    NA    NA     0.3362     .5025e-12       1.328     14.236     14.067     14.077     NA    NA    NA    NA    NA    NA    NA    NA    
0.05079     0.05133     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     2.833     2.0400e+09       1.10       0.97       2.515       2.503       1.463       1.507       0.610       1.291      71.481      70.687      0.0482     .3634e-11       1.131     16.797     16.945     16.697     NA    .9224e+09       0.560     NA    NA    NA    NA    NA    
0.05079     0.04959     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     2.899     6.5200e+08       0.97       0.75       4.282       4.300       2.586       2.784       2.073       2.042      60.532      62.139      0.0963     .4768e-10       0.661     NA    NA    NA    NA    .4310e+08       0.293     NA    NA    NA    NA    NA    
0.05079     0.05133     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     1.989     1.3200e+09       1.43       1.80       1.627       1.425     NA    NA      1.497       0.661      53.901      53.901      0.1236     .3659e-11       0.966     17.126     18.030     16.585     .2401e+08      .2037e+09       0.223     NA    NA    NA    NA    NA    
0.05079     0.05018     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     1.569     4.6300e+10      10.00       6.24      10.928       6.416     NA    NA      0.461       0.467      29.910      29.910      0.9239     .9954e-11       1.369     15.057     14.815     15.421     .6526e+09      .1317e+10      NA    NA    NA    NA    NA    NA    
0.05079     0.04953     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     1.154     2.1800e+09       1.15       0.75       2.692       2.963       1.522       1.862       1.040     -98.000      29.915     -98.000      2.4024     .1020e-09       0.735     16.057     16.048     16.209     NA    NA     0.587     NA    NA    NA    NA    NA    
0.05079     0.05201     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     0.668     7.3300e+09       1.97       1.89       2.646       2.132     NA    NA      1.242       0.682      74.791      74.791      0.0228     .1178e-12       1.000     16.808     16.228     17.117     .3602e+09      .8405e+09       0.620     NA    NA    NA    NA    NA    
0.05079     0.05086     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     0.233     5.0500e+10       7.64       4.82      10.503       2.741     NA    NA      1.581       0.979      53.491      53.491      0.0001     .0000e-14       1.360     15.473     15.313     15.507     .2024e+10      .8620e+10      NA    NA    NA    NA    NA    NA    
0.05079     0.05096     0.465     247.6     8.6020e+10       9     1.1984e+13      0.029     0.000     9.2683e+10     NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    
0.05038     0.05037     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.447     2.3400e+09       0.94       0.76       2.016       1.924       1.225       1.219       0.921       1.290      37.559      37.800      0.0878     .7509e-11       1.039     17.371     17.747     NA    NA    .5349e+08      NA    NA    NA    NA    NA    NA    
0.05038     0.05023     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.219     4.3500e+08       1.49       1.08       3.774       3.844       1.859       2.231     NA      1.464     NA     60.171      3.1366     .2106e-09       0.862     NA    16.095     17.633     NA    NA    NA    NA    NA    NA    NA    NA    
0.05038     0.05024     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.000     4.0800e+10       4.52       4.47       3.164       3.939     NA    NA    NA    NA    NA    NA     0.1989     .8759e-12       1.409     15.441     15.040     15.299     NA    NA    NA    NA    NA    NA    NA    NA    
0.05038     0.04996     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.504     3.2900e+09       0.68       0.61       2.134       2.100       1.341       1.309       0.990       0.808      78.750      76.405      0.2545     .7360e-11       0.980     17.618     17.732     17.021     NA    .7504e+09      NA    NA    NA    NA    NA    NA    
0.05038     0.05051     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     0.801     3.9700e+09       1.75       1.50       1.243       1.393     NA    NA      0.741       0.741      41.443      41.443      0.4348     .0951e-10       0.820     17.006     NA    17.448     .3056e+08      .2552e+09      NA    NA    NA    NA    NA    NA    
0.05038     0.04999     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     1.681     1.5200e+10       1.28       0.96       5.645       6.384       3.035       3.867     NA      3.236     NA     65.438      2.4925     .6398e-10       0.783     14.968     14.549     14.921     NA    NA     0.366     NA    NA    NA    NA    NA    
0.05038     0.05151     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     1.926     4.0100e+08       1.44       1.10       4.518       4.801       2.252       2.776     NA      3.618     NA     61.609      0.1901     .7419e-10       0.454     NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    
0.05038     0.04965     0.356     148.8     5.4143e+10       8     5.3629e+12      0.652     1.969     1.2900e+10       0.79       0.59       2.444       2.547       1.550       1.660     NA    NA    NA    NA     0.6156     .7718e-11       0.946     15.938     15.865     16.389     NA    NA    NA    NA    NA    NA    NA    NA    
0.05143     0.05172     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     1.957     1.3200e+09       0.90       0.69       2.507       2.517       1.561       1.608     -98.000       1.303     -98.000      69.281      0.2202     .6681e-10       0.791     16.981     NA    NA    NA    NA     0.098     NA    NA    NA    NA    NA    
0.05143     0.05097     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     0.192     1.0600e+10       2.46       1.96       1.814       1.566     NA    NA      1.176       1.235      40.980      41.510      0.2472     .3316e-11       1.132     15.777     16.068     16.370     .0001e+09      .0018e+09       0.373     NA    NA    NA    NA    NA    
0.05143     0.05001     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     1.154     8.1300e+09       1.16       0.77       3.779       3.930       2.156       2.482       1.499     -98.000      68.862     -98.000      0.0538     .6141e-12       1.233     16.364     15.952     16.267     NA    NA    -0.002     NA    NA    NA    NA    NA    
0.05143     0.05222     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     0.000     2.4800e+10       3.82       3.35       6.319       9.588     NA    NA      3.480       3.480      52.799      52.799      0.4147     .6722e-11       1.003     14.633     14.785     14.399     .0915e+10      .9060e+09       0.131     NA    NA    NA    NA    NA    
0.05143     0.05190     0.328     287.4     4.6776e+10       5     4.2114e+12      0.340     0.691     8.9000e+09       0.95       0.83       4.716       5.368       2.855       3.332       0.688       0.377      78.526      78.635      0.2913     .2726e-11       1.288     16.259     15.502     15.527     NA    .3347e+09       0.481     NA    NA    NA    NA    NA    
