mag_u    mag_g    mag_r    mag_i    mag_z    sep    DLR    zphoto    age    logSFR    
  19.727      18.626      18.238      18.045      17.962      5.14      4.35       0.0241       5.10      -10.32
  18.874      17.862      17.470      17.302      17.346      3.37      0.89       0.0262       5.55      -10.34
  21.582      21.288      20.999      20.692      20.985      1.74      2.98       0.1898       3.26      -10.10
  20.748      19.581      18.906      18.551      18.274      1.22      0.59       0.1278       4.17      -10.19
  19.797      18.687      18.399      18.224      18.063      6.33      1.86       0.0397       3.97      -10.19
  21.730      20.599      19.979      19.602      19.530      0.73      0.54       0.1492       5.11      -10.32
  17.540      16.419      15.944      15.691      15.589     15.70      4.34       0.0277       6.88      -10.55
  20.351      19.341      19.067      18.747      18.865      0.44      0.43       0.0664       3.79      -10.18
  18.138      17.194      16.823      16.520      16.417      1.42      0.60       0.0820       5.25      -10.30
  21.210      20.229      19.916      19.741      19.710      0.28      0.37       0.0379       4.08      -10.19
  18.511      17.257      16.574      16.192      15.970      4.65      2.09       0.1187       7.58      -10.55
  19.695      18.171      17.209      16.761      16.455      2.71      1.60       0.1570       6.33      -10.76
  19.646      18.645      18.172      17.818      17.682      0.68      0.79       0.1040       7.16      -10.45
  17.780      16.285      15.720      15.392      15.178      5.58      1.15       0.0716       3.91      -10.21
  19.564      18.587      18.167      17.875      17.678      0.65      0.80       0.0608       5.18      -10.31
  20.182      19.264      18.868      18.553      18.562      0.67      0.49       0.0974       4.16      -10.23
  18.486      16.940      16.417      16.147      15.894      4.97      2.29       0.0476       5.55      -10.38
  22.287      22.060      21.349      21.296      21.582      0.33      0.57       0.2921       5.79      -10.40
  19.144      18.388      18.072      17.870      17.753      0.42      0.33       0.0778       2.91      -10.08
  19.292      17.739      17.045      16.648      16.339      9.09      3.57       0.0628       5.26      -10.34
  19.742      18.252      17.423      17.004      16.660      4.63      2.25       0.0842       7.00      -10.52
  20.839      19.640      19.088      18.789      18.756      5.33      3.24       0.0845       6.17      -10.47
  17.851      16.691      16.144      15.773      15.590      5.74      1.72       0.0871       6.26      -10.40
  19.573      18.805      18.713      18.540      18.720      3.59      1.75       0.0473       3.27      -10.11
  16.994      15.704      15.137      14.835      14.657      6.85      0.87       0.0680       6.66      -10.53
  17.059      15.923      15.512      15.275      15.092     12.51      2.45       0.0402       4.72      -10.26
  20.518      19.245      18.724      18.369      18.478      3.88      2.76       0.1271       5.29      -10.41
  22.135      21.338      20.748      20.545      20.670      6.84      8.22       0.1996       4.55      -10.28
  19.718      18.774      18.447      18.274      18.196      4.51      5.31       0.0252       4.01      -10.18
  19.826      18.601      18.136      17.859      17.755      3.04      1.47       0.0592       4.57      -10.28
  18.398      16.626      15.856      15.482      15.195      9.44      2.94       0.0456       6.39      -13.70
  17.292      15.806      15.120      14.746      14.478     10.30      1.93       0.0676       5.04      -10.35
  18.285      17.060      16.380      15.982      15.726      6.07      1.73       0.1176       5.73      -10.37
  24.773      21.779      21.384      21.537      21.706      2.57      3.15       0.1614       4.18      -10.24
  22.386      21.220      20.109      20.902      19.515      3.11      1.14       0.1644       6.57      -10.63
  22.578      20.897      20.887      20.827      20.300      1.00      0.87       0.0443       4.18      -10.20
  17.964      16.787      16.306      15.971      15.845      5.35      1.88       0.0881       4.99      -10.27
  18.141      16.768      16.140      15.781      15.541      3.04      1.11       0.0722       5.83      -10.42
  20.592      19.499      19.452      19.971      20.686      3.99      1.31       0.0693       3.58      -10.14
  17.166      15.719      15.021      14.625      14.352      4.30      0.84       0.0758       6.20      -10.42
  19.683      18.319      17.618      17.269      17.033      3.20      1.39       0.0922       6.02      -10.54
  20.251      19.325      18.754      18.420      18.091      2.14      0.65       0.1406       5.99      -10.40
  17.183      15.732      15.029      14.689      14.435     10.83      3.54       0.0714       7.11      -10.76
  22.475      23.002      21.926      21.832      22.001      0.73      1.13       0.4896       3.89      -10.19
  20.938      20.428      20.277      20.215      20.247      0.35      0.52       0.0962       2.31      -10.02
  22.995      24.170      22.122      21.379      21.188      0.99      3.48       0.5286       8.88      -14.65
  23.371      22.742      22.341      22.212      22.675      0.25      0.46       0.2797       3.97      -10.19
  20.159      18.425      17.459      17.085      16.819      0.14      0.05       0.1530       7.74      -14.09
  19.126      18.240      17.870      17.755      17.636      4.73      1.46       0.0188       4.30      -10.22
  19.963      18.868      18.125      17.783      17.546      4.51      2.08       0.1743       5.34      -10.34
  22.970      23.450      21.755      21.069      20.189      3.99      3.42       0.6080       8.20      -14.83
  19.298      18.252      17.601      17.273      17.087      1.78      0.64       0.1565       6.91      -10.57
  17.895      16.901      16.575      16.304      16.162      2.02      1.76       0.0590       3.89      -10.20
  17.928      16.751      16.242      15.911      15.743     10.28      3.06       0.0833       5.38      -10.32
  20.614      20.074      19.643      19.472      19.291      0.80      1.20       0.2294       4.45      -10.23
  23.914      22.078      21.643      20.846      20.889      0.28      0.44       0.5647       4.49      -10.25
