mag_u    mag_g    mag_r    mag_i    mag_z    sep    DLR    zphoto    age    logSFR    
  19.129      17.179      16.266      15.898      15.528      2.22      0.67       0.0879       6.66      -15.23
  19.573      17.800      16.759      16.289      15.912      2.32      1.46       0.1372       8.45      -11.75
  21.196      19.756      18.899      18.421      18.061      1.58      0.98       0.1013       5.37      -10.34
  20.170      18.376      17.372      16.945      16.654      3.41      1.62       0.1506       6.57      -13.05
  19.544      17.799      16.913      16.488      16.178      1.36      0.80       0.0891       7.07      -12.23
  21.108      19.118      18.096      17.672      17.361      1.74      1.68       0.1302       8.20      -15.65
  19.745      18.701      17.751      17.356      16.968      2.45      0.81       0.2830       3.85      -10.18
  21.396      20.232      19.185      18.932      18.401      3.16      3.17       0.3026       2.93      -10.08
  22.441      21.754      19.987      19.335      19.006      2.68      2.58       0.3855       5.29      -12.61
  20.144      18.515      17.580      17.090      16.797      4.06      2.59       0.1620       7.93      -11.36
  24.357      20.192      18.894      18.331      18.002      1.77      1.55       0.2482       7.71      -17.02
  21.932      20.948      20.313      20.092      19.385      0.94      0.75       0.2609       4.01      -10.20
  20.370      18.444      17.421      17.007      16.618      1.11      0.96       0.1234       7.75      -15.75
  24.362      19.942      18.873      18.469      18.097      6.96      4.11       0.1589       9.52      -17.73
  21.856      20.987      20.186      19.865      19.616      1.26      1.51       0.2618       3.90      -10.17
  21.916      20.426      20.129      19.914      19.991      0.33      0.34       0.0460       3.29      -10.11
  21.642      20.611      19.669      19.275      18.971      2.03      2.13       0.2440       4.47      -10.27
  21.149      20.110      19.398      19.017      18.791      1.64      1.70       0.1668       4.01      -10.20
  20.984      20.606      20.147      20.102      20.697      1.02      1.67       0.1709       2.68      -10.05
  20.422      19.990      19.858      19.722      20.189      1.83      2.19       0.0874       3.03      -10.09
  22.632      23.211      21.939      22.144      21.230      0.73      1.60       0.3705       3.67      -10.15
  21.105      19.703      18.745      18.257      18.051      2.79      1.97       0.2038       5.58      -10.52
  22.051      21.376      20.530      20.270      19.791      1.36      1.68       0.3525       4.80      -10.29
  21.633      20.383      19.446      18.954      18.547      0.85      0.80       0.1905       4.55      -10.25
  23.413      22.697      21.878      21.858      21.945      0.71      0.75       0.3512       3.50      -10.13
  20.199      19.316      18.757      18.396      18.268      1.88      1.74       0.1628       4.30      -10.24
  22.878      22.597      21.627      21.314      21.671      1.24      1.06       0.4287       3.37      -10.11
  21.574      18.299      17.505      17.080      16.790      5.84      0.91       0.3186       4.29      -11.23
  20.357      19.196      18.726      18.417      18.319      2.08      1.29       0.0837       3.42      -10.14
  20.295      18.403      17.245      16.764      16.390      3.14      2.04       0.1658       7.84      -14.47
  21.725      20.716      19.267      18.727      18.308      2.86      2.52       0.3400       6.08      -11.11
  20.579      19.169      18.535      18.176      17.884      1.22      0.74       0.0753       4.60      -10.24
  20.539      18.976      18.042      17.612      17.332      2.33      3.54       0.1261       5.57      -10.70
  21.047      20.410      19.915      19.594      19.441      0.52      0.72       0.1816       4.36      -10.21
  20.839      19.534      18.900      18.558      18.393      0.65      0.84       0.0992       5.59      -10.44
  21.029      19.953      19.250      18.981      18.783      0.73      0.51       0.2075       5.02      -10.31
  22.567      22.041      21.430      20.923      20.274      1.23      1.03       0.5427       4.39      -10.25
  22.206      20.444      19.235      18.762      18.447      2.76      5.52       0.1919       6.34      -11.92
  22.160      21.530      21.148      21.002      21.564      1.29      1.55       0.2138       2.24       -9.99
  18.988      17.518      16.802      16.412      16.133      5.35      2.22       0.0793       5.30      -10.36
  18.794      17.331      17.091      16.833      16.682      0.10      0.04       0.0500       3.34      -10.12
  21.079      19.989      18.968      18.577      18.291      3.13      2.59       0.2736       4.26      -10.26
  24.255      23.514      22.995      21.936      22.289      0.28      0.52       0.5919       4.89      -10.38
  23.706      23.613      22.482      22.997      22.884      1.13      2.27       0.3327       2.75      -10.03
  21.796      19.670      19.298      19.234      19.948      0.62      0.52       0.0950       3.88      -10.18
  23.136      22.537      22.223      22.637      22.075      0.23      0.14       0.1473       2.20       -9.97
  21.591      21.152      20.760      20.593      20.774      1.08      1.11       0.1896       2.84      -10.08
  22.979      23.083      21.794      21.995      21.950      1.33      5.70       0.3461       2.50      -10.03
  19.495      18.651      17.865      17.450      17.272      2.15      1.99       0.2128       6.57      -10.70
  22.044      21.923      21.471      21.989      21.030      2.44      3.28       0.3455       1.83       -9.95
  21.447      20.529      20.183      19.974      19.988      0.22      0.24       0.0628       3.55      -10.14
  21.092      20.078      19.464      19.498      19.231      1.73      0.94       0.1333       2.83      -10.05
  23.206      21.762      21.300      21.218      21.835      2.41      3.58       0.0813       3.89      -10.18
  20.754      20.355      19.753      19.553      19.618      0.85      0.74       0.2923       3.80      -10.15
  24.529      21.913      20.120      19.485      19.037      1.99      2.12       0.3811       4.90      -14.14
  21.199      20.463      20.076      19.837      19.690      0.77      1.07       0.1216       3.04      -10.07
  23.078      21.657      21.159      21.076      20.513      0.49      0.45       0.0815       2.73      -10.04
  23.512      21.935      20.441      19.747      20.782      4.40      3.41       0.2920       6.71      -12.77
  22.445      22.219      21.479      21.221      21.301      0.45      0.60       0.4146       2.49      -10.00
  20.436      18.994      18.110      17.637      17.358      1.18      0.81       0.1514       6.42      -10.45
  17.447      15.761      15.002      14.625      14.361      9.27      1.65       0.0577       7.66      -13.94
  21.412      20.703      19.774      19.442      19.143      2.76      3.53       0.3221       4.87      -10.28
  22.008      20.375      19.148      18.758      18.377      2.44      2.13       0.2080       4.16      -10.79
  18.305      17.292      16.864      16.591      16.433      0.49      0.17       0.0771       5.51      -10.33
  21.660      21.079      20.347      19.996      19.668      1.47      1.22       0.2924       4.13      -10.20
  23.825      21.787      21.428      21.479      20.557      0.52      0.71       0.2031       2.56      -10.02
  22.276      21.243      20.551      20.459      20.674      2.09      3.74       0.2024       2.06       -9.96
  22.339      21.399      20.719      20.850      20.613      1.32      1.03       0.1465       2.53      -10.01
  21.787      20.481      19.015      18.441      18.013      0.91      0.79       0.3175       6.50      -11.12
  21.837      20.825      20.174      19.907      19.732      0.66      0.58       0.1681       2.95      -10.05
  19.075      17.134      16.209      15.806      15.481      6.53      4.77       0.0945       7.24      -15.30
  20.283      19.451      18.627      18.199      17.996      4.80      3.05       0.2206       6.33      -10.67
  22.641      22.104      21.475      20.846      21.275      0.97      0.95       0.4917       4.32      -10.24
  19.876      18.422      17.780      17.378      17.157      0.57      0.36       0.0833       4.09      -10.22
  22.474      21.065      20.360      20.087      19.748      0.93      0.94       0.1014       4.34      -10.25
  20.151      18.796      18.116      17.759      17.488      0.89      0.98       0.0619       6.50      -10.55
  22.835      21.412      20.224      19.729      19.564      1.28      1.54       0.2466       4.76      -10.50
  18.320      16.938      16.447      16.209      16.042      0.58      0.54       0.0437       3.90      -10.19
  21.649      19.224      17.929      17.438      17.137     10.42      6.04       0.2020       8.21      -16.67
  20.928      19.894      19.144      18.835      18.590      1.03      0.74       0.1727       5.03      -10.32
  22.816      22.193      20.933      21.228      20.585      1.40      1.14       0.3063       3.69      -10.17
  21.630      20.946      20.293      19.801      19.407      1.86      1.61       0.4374       5.09      -10.26
  21.257      18.970      17.991      17.585      17.256      0.60      0.48       0.1141       7.86      -15.85
  21.813      21.589      21.056      21.089      21.039      0.88      1.70       0.2958       2.88      -10.06
  24.710      22.176      20.410      19.729      19.286      3.35      4.45       0.4006       6.14      -15.22
  22.064      20.388      19.357      18.874      18.602      0.80      0.92       0.1756       5.43      -10.62
